2018/04/08 03:37:04 [error] 7#7: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.18.0.1, server: , request: "GET / HTTP/1.1", upstream: "http://172.18.0.3:5601/", host: "localhost:444"
2018/04/08 03:37:04 [error] 7#7: *4 connect() failed (111: Connection refused) while connecting to upstream, client: 172.18.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.18.0.3:5601/favicon.ico", host: "localhost:444", referrer: "http://localhost:444/"
2018/04/08 03:38:24 [warn] 7#7: *16 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000001, client: 172.18.0.1, server: , request: "PUT /api/saved_objects/index-pattern/499a9ba0-3ade-11e8-8373-8b22488ef3dc HTTP/1.1", host: "localhost:444", referrer: "http://localhost:444/app/kibana"
2018/04/08 03:39:06 [warn] 7#7: *16 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000002, client: 172.18.0.1, server: , request: "PUT /api/saved_objects/index-pattern/499a9ba0-3ade-11e8-8373-8b22488ef3dc HTTP/1.1", host: "localhost:444", referrer: "http://localhost:444/app/kibana"
2018/04/08 03:39:08 [warn] 7#7: *16 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000003, client: 172.18.0.1, server: , request: "PUT /api/saved_objects/index-pattern/499a9ba0-3ade-11e8-8373-8b22488ef3dc HTTP/1.1", host: "localhost:444", referrer: "http://localhost:444/app/kibana"
2018/04/08 03:39:12 [warn] 7#7: *16 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000004, client: 172.18.0.1, server: , request: "PUT /api/saved_objects/index-pattern/499a9ba0-3ade-11e8-8373-8b22488ef3dc HTTP/1.1", host: "localhost:444", referrer: "http://localhost:444/app/kibana"
2018/04/08 03:39:18 [warn] 7#7: *16 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000005, client: 172.18.0.1, server: , request: "PUT /api/saved_objects/index-pattern/499a9ba0-3ade-11e8-8373-8b22488ef3dc HTTP/1.1", host: "localhost:444", referrer: "http://localhost:444/app/kibana"
2018/04/08 03:39:22 [warn] 7#7: *16 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000006, client: 172.18.0.1, server: , request: "PUT /api/saved_objects/index-pattern/499a9ba0-3ade-11e8-8373-8b22488ef3dc HTTP/1.1", host: "localhost:444", referrer: "http://localhost:444/app/kibana"
2018/04/08 03:39:27 [warn] 7#7: *16 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000007, client: 172.18.0.1, server: , request: "PUT /api/saved_objects/index-pattern/499a9ba0-3ade-11e8-8373-8b22488ef3dc HTTP/1.1", host: "localhost:444", referrer: "http://localhost:444/app/kibana"
2018/04/08 03:39:29 [warn] 7#7: *16 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000008, client: 172.18.0.1, server: , request: "PUT /api/saved_objects/index-pattern/499a9ba0-3ade-11e8-8373-8b22488ef3dc HTTP/1.1", host: "localhost:444", referrer: "http://localhost:444/app/kibana"
2018/04/08 03:39:34 [warn] 7#7: *16 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000009, client: 172.18.0.1, server: , request: "PUT /api/saved_objects/index-pattern/499a9ba0-3ade-11e8-8373-8b22488ef3dc HTTP/1.1", host: "localhost:444", referrer: "http://localhost:444/app/kibana"
2018/04/08 03:39:37 [warn] 7#7: *16 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000010, client: 172.18.0.1, server: , request: "PUT /api/saved_objects/index-pattern/499a9ba0-3ade-11e8-8373-8b22488ef3dc HTTP/1.1", host: "localhost:444", referrer: "http://localhost:444/app/kibana"
2018/04/08 03:41:00 [warn] 7#7: *16 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000011, client: 172.18.0.1, server: , request: "PUT /api/saved_objects/index-pattern/499a9ba0-3ade-11e8-8373-8b22488ef3dc HTTP/1.1", host: "localhost:444", referrer: "http://localhost:444/app/kibana"
2018/04/08 03:41:02 [warn] 7#7: *16 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000012, client: 172.18.0.1, server: , request: "PUT /api/saved_objects/index-pattern/499a9ba0-3ade-11e8-8373-8b22488ef3dc HTTP/1.1", host: "localhost:444", referrer: "http://localhost:444/app/kibana"
2018/04/08 03:41:03 [warn] 7#7: *16 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000013, client: 172.18.0.1, server: , request: "PUT /api/saved_objects/index-pattern/499a9ba0-3ade-11e8-8373-8b22488ef3dc HTTP/1.1", host: "localhost:444", referrer: "http://localhost:444/app/kibana"
2018/04/08 03:46:50 [warn] 7#7: *16 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000014, client: 172.18.0.1, server: , request: "PUT /api/saved_objects/index-pattern/499a9ba0-3ade-11e8-8373-8b22488ef3dc HTTP/1.1", host: "localhost:444", referrer: "http://localhost:444/app/kibana"
2018/04/08 03:47:04 [warn] 7#7: *16 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000015, client: 172.18.0.1, server: , request: "PUT /api/saved_objects/index-pattern/499a9ba0-3ade-11e8-8373-8b22488ef3dc HTTP/1.1", host: "localhost:444", referrer: "http://localhost:444/app/kibana"
